\,9999,999,99,90,max,avg,tps
T=1,0.4329,0.21725,0.1,0.05983,17.43754,0.04993,19907
T=3,0.69636,0.14681,0.10321,0.07428,17.91029,0.06458,46254
T=6,2.73567,0.28513,0.19337,0.13329,22.23331,0.11355,52687
T=12,18.84672,0.80069,0.36064,0.25217,41.00598,0.21282,56273
T=24,28.7672,2.14257,0.96456,0.78186,63.00957,0.50956,47026
T=48,26.70528,5.75436,1.47307,0.9986,47.65782,0.86679,55209
T=100,29.82629,12.96928,4.55252,3.72013,45.13891,2.53398,39442
T=200,63.14051,29.57412,9.87833,7.71498,77.74106,5.233,38166
