\,9999,999,99,90,max,avg,tps
U=1,0.04075,0.01015,0.007,0.00203,30.58284,0.00215,2226200
U=2,0.03165,0.00598,0.00502,0.00184,22.5379,0.00185,2445779
U=3,0.04334,0.0054,0.00345,0.00186,14.54188,0.00178,2765731
U=4,0.02694,0.00617,0.00505,0.00205,16.12,0.0019,2581036
U=5,0.04948,0.00908,0.00623,0.00328,17.34136,0.00224,2161450
U=6,0.02922,0.00564,0.00351,0.00196,14.49018,0.00173,2720137
U=100,0.03821,0.00882,0.00357,0.00188,14.09523,0.00179,2693595
